Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
7,2016,2016-July,4.04,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae
8,2016,2016-July,4.51,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.18,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae
9,2016,2016-July,5.45,0.4,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae
10,2016,2016-July,4.93,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.82,586.27,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae
11,2016,2016-July,5.78,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.18,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae
12,2016,2016-July,7.66,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae
13,2016,2016-July,5.68,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae
14,2016,2016-July,4.23,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.97,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae
16,2016,2016-July,5.69,0.69,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea
17,2016,2016-July,6.87,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59328585,-149.8390346,683.48,215.33,607.29,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea
